Name,Latent_feature
RID_1001004902_20180926_162921_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.56601226  0.26690066 -0.23724593 ... -0.584414   -0.24969983
 -0.3543395 ]"
RID_1001007603_20180717_171004_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0065.jpg,"[ 0.5085119  -0.23944843 -0.19277176 ... -0.26428297 -0.05233847
  0.11862974]"
RID_1001001146_20180604_140117_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.61052525  0.24578767 -0.12533379 ... -0.5582233  -0.10232808
 -0.41635633]"
RID_1001003633_20171204_155617_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.5592858   0.00760237 -0.15379791 ... -0.3481515  -0.1505345
 -0.23719122]"
RID_1001001106_20190814_165605_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.65328026  0.1600085  -0.13437016 ... -0.4522789  -0.11775714
 -0.43295458]"
RID_1001006890_20191113_165709_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0057.jpg,"[ 0.5392478  -0.33042192 -0.14512207 ... -0.31787175 -0.05656374
 -0.02755841]"
RID_1001000342_20181203_154641_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.5864476   0.27169004 -0.11742257 ... -0.5124778  -0.17578696
 -0.59875697]"
RID_1001000695_20180426_154103_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.54706603  0.10888059 -0.15774217 ... -0.34651092  0.00262479
 -0.41013923]"
RID_1001000689_20190917_151025_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.46565548  0.07076579 -0.1103655  ... -0.38663366 -0.20660281
 -0.33299157]"
RID_1001001192_20190626_162944_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.6842081   0.18633072 -0.1741079  ... -0.575119   -0.23224708
 -0.45624983]"
RID_1001006953_20171103_162331_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0065.jpg,"[ 0.52394634 -0.0094665  -0.18520732 ... -0.22559361  0.00755526
  0.05268849]"
RID_1001000378_20180808_153732_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.68264675  0.09422381 -0.15059042 ... -0.5458286  -0.18857735
 -0.52458817]"
RID_1001002226_20190306_165331_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0057.jpg,"[ 0.5721165  -0.0409866  -0.23211177 ... -0.20592964 -0.10888492
 -0.04077743]"
RID_1001000695_20180426_154103_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.6002863  -0.03938682 -0.20540449 ... -0.34419444  0.01579164
 -0.26995128]"
RID_1001001146_20180604_140117_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.6087891   0.4064806  -0.1169892  ... -0.56878823 -0.07330275
 -0.41309142]"
RID_1001007672_20181010_153529_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0081.jpg,"[ 0.536634   -0.22887215 -0.21794088 ... -0.27113593 -0.04905449
 -0.19678944]"
RID_1001006953_20171103_162331_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.60340935  0.23365918 -0.18870756 ... -0.42386234 -0.13269652
 -0.32565278]"
RID_1001000436_20171128_162346_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.6258886   0.01722622 -0.17131867 ... -0.49326965 -0.26670507
 -0.1999653 ]"
RID_1001000745_20191218_134307_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.6574159   0.12777036 -0.14065532 ... -0.37254107 -0.11141352
 -0.352396  ]"
RID_1001000662_20180723_160037_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.4620515   0.32498983 -0.13635166 ... -0.41640985 -0.23885748
 -0.412756  ]"
RID_1001000984_20190802_161342_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0041.jpg,"[ 0.51979995  0.15990208 -0.16528691 ... -0.24361499 -0.12222171
 -0.27632773]"
RID_1001000243_20190521_161307_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0097.jpg,"[ 0.57088846  0.27706608 -0.15490565 ... -0.42238277 -0.13598895
 -0.27090105]"
RID_1001000617_20190812_154023_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.5921507  -0.03270134 -0.15580922 ... -0.37320668 -0.07922433
 -0.53379846]"
RID_1001000483_20181005_151931_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0057.jpg,"[ 0.49817166 -0.00386416 -0.15527795 ... -0.41241243 -0.11246533
 -0.3613678 ]"
RID_1001001130_20180522_154512_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.6346727   0.13000368 -0.15635963 ... -0.40900406 -0.13068353
 -0.47673643]"
RID_1001000149_20180618_154813_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0033.jpg,"[ 0.49950555  0.1227001  -0.13382079 ... -0.35406417 -0.12569757
 -0.24255489]"
RID_1001000149_20180618_154813_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.47985     0.2089186  -0.16631821 ... -0.31333032 -0.0860857
 -0.08882411]"
RID_1001000177_20170803_162729_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.58309     0.28945673 -0.1304555  ... -0.43568793 -0.07989129
 -0.51246893]"
RID_1001000441_20181108_160255_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0017.jpg,"[ 0.57490873  0.17166343 -0.18355079 ... -0.4977697  -0.10547401
 -0.4765496 ]"
RID_1001007923_20180417_162800_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.53164935 -0.07460852 -0.20008308 ... -0.21032844 -0.01402679
  0.05452163]"
RID_1001001041_20190605_152102_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.7043174   0.13585593 -0.1533898  ... -0.6213904  -0.06603035
 -0.64723015]"
RID_1001000745_20191218_134307_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.63247526  0.2346115  -0.14569618 ... -0.41573447 -0.13441412
 -0.40039134]"
RID_1001000441_20181108_160255_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.503899    0.06501269 -0.18243101 ... -0.4015796  -0.14641201
 -0.12365843]"
RID_1001006890_20191113_165709_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0001.jpg,"[ 0.69952804  0.10087657 -0.16864118 ... -0.50595385 -0.22182465
 -0.35585502]"
RID_1001003633_20171204_155617_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.48311085  0.04258071 -0.16377945 ... -0.21412963 -0.03287312
 -0.1846839 ]"
RID_1001000617_20190812_154023_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0049.jpg,"[ 0.47052532 -0.0037554  -0.08129098 ... -0.32572755 -0.17191069
 -0.03302023]"
RID_1001000457_20190820_154607_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0113.jpg,"[ 0.6431246   0.04004436 -0.1248677  ... -0.52870625 -0.09264053
 -0.43439582]"
RID_1001001130_20180522_154512_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.6964971   0.1853003  -0.14089845 ... -0.39981964 -0.16019274
 -0.46851256]"
RID_1001004007_20190129_161234_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.54732573 -0.10244074 -0.19198717 ... -0.21001367 -0.12050823
 -0.04408926]"
RID_1001000585_20190521_164622_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0121.jpg,"[ 0.5271766   0.11747272 -0.1363901  ... -0.48675427 -0.10563087
 -0.3325853 ]"
RID_1001001192_20190626_162944_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0025.jpg,"[ 0.62330496  0.1601013  -0.1668205  ... -0.43454722 -0.17616682
 -0.34712037]"
RID_1001000001_20181231_155031_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0105.jpg,"[ 0.5194595   0.18632121 -0.12083948 ... -0.5804989  -0.04936823
 -0.52186066]"
RID_1001000695_20180426_154103_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0065.jpg,"[ 0.550661   -0.16025217 -0.14686595 ... -0.28852844 -0.06467669
  0.06328999]"
RID_1001000646_20180517_165451_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.6171487   0.3386203  -0.12299836 ... -0.48663437 -0.22755805
 -0.4702538 ]"
RID_1001000617_20190812_154023_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0009.jpg,"[ 0.6018558   0.09710799 -0.14542022 ... -0.46599227 -0.11667185
 -0.36066106]"
RID_1001001041_20190605_152102_L_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0089.jpg,"[ 0.55159473  0.01240094 -0.16427742 ... -0.52234393 -0.12229401
 -0.15466866]"
RID_1001006436_20190117_153355_R_CIRRUS_HD-OCT_5000_512x1024x128_ORG_IMG_JPG_0073.jpg,"[ 0.5104947  -0.12723573 -0.17577468 ... -0.21776153 -0.02682059
 -0.14256904]"
