2024-03-19 12:00:51,817 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound_448 
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (foveal_scan): 0.2227
2024-03-19 12:00:58,164 - INFO - Initial Test Accuracy (healthy): 0.4607
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (irf): 0.9706
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (drusen): 0.9551
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (ped): 0.9722
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (hdots): 0.5882
2024-03-19 12:02:21,529 - INFO - Epoch 4/40, Train Accuracy (hfoci): 0.9722
2024-03-19 12:02:22,408 - INFO - Epoch 4/40, Val Loss: 0.1173
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (foveal_scan): 0.9338
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (healthy): 0.8456
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (srf): 0.9632
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (drusen): 0.8382
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (ped): 0.9338
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (hdots): 0.5882
2024-03-19 12:02:23,295 - INFO - Epoch 4/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:02:34,172 - INFO - Epoch 5/40, Train Loss: 0.0105
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (healthy): 0.9926
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (srf): 0.9935
2024-03-19 12:02:41,880 - INFO - Epoch 5/40, Train Accuracy (irf): 0.9951
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (drusen): 0.9828
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (ped): 0.9886
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (hdots): 0.9910
2024-03-19 12:02:41,881 - INFO - Epoch 5/40, Train Accuracy (hfoci): 0.9845
2024-03-19 12:02:42,742 - INFO - Epoch 5/40, Val Loss: 0.0754
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (foveal_scan): 0.9632
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (healthy): 0.9265
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (srf): 0.9706
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (irf): 0.9485
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (drusen): 0.8750
2024-03-19 12:02:43,645 - INFO - Epoch 5/40, Validation Accuracy (ped): 0.8824
2024-03-19 12:02:43,646 - INFO - Epoch 5/40, Validation Accuracy (hdots): 0.7721
2024-03-19 12:02:43,646 - INFO - Epoch 5/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:02:54,438 - INFO - Epoch 6/40, Train Loss: 0.0078
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (foveal_scan): 0.9984
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (healthy): 0.9984
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (srf): 0.9975
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (irf): 1.0000
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (drusen): 0.9975
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (ped): 0.9959
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (hdots): 0.9804
2024-03-19 12:03:02,293 - INFO - Epoch 6/40, Train Accuracy (hfoci): 0.9975
2024-03-19 12:03:03,180 - INFO - Epoch 6/40, Val Loss: 0.0600
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (foveal_scan): 0.9779
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (healthy): 0.9485
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (srf): 0.9853
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (irf): 0.9485
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (drusen): 0.8750
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (ped): 0.9485
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (hdots): 0.8088
2024-03-19 12:03:04,036 - INFO - Epoch 6/40, Validation Accuracy (hfoci): 0.9853
2024-03-19 12:03:05,045 - INFO - Best Validation Loss: 0.0600
2024-03-19 12:03:16,760 - INFO - Epoch 7/40, Train Loss: 0.0063
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (healthy): 0.9232
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (srf): 0.9910
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (irf): 0.9894
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (drusen): 0.9804
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (ped): 0.9845
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (hdots): 0.9788
2024-03-19 12:03:24,446 - INFO - Epoch 7/40, Train Accuracy (hfoci): 0.9820
2024-03-19 12:03:25,316 - INFO - Epoch 7/40, Val Loss: 0.0869
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (foveal_scan): 0.9853
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (healthy): 0.8676
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (srf): 0.9706
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (drusen): 0.8456
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (ped): 0.9044
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (hdots): 0.8015
2024-03-19 12:03:26,186 - INFO - Epoch 7/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:03:37,109 - INFO - Epoch 8/40, Train Loss: 0.0058
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (foveal_scan): 0.9992
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (healthy): 0.9763
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (srf): 1.0000
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (irf): 0.9984
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (drusen): 0.9395
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (ped): 0.9967
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (hdots): 0.9216
2024-03-19 12:03:44,898 - INFO - Epoch 8/40, Train Accuracy (hfoci): 0.9992
2024-03-19 12:03:45,773 - INFO - Epoch 8/40, Val Loss: 0.1112
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (foveal_scan): 0.9779
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (healthy): 0.9044
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (srf): 0.9779
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (irf): 0.9485
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (drusen): 0.8750
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (ped): 0.9338
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (hdots): 0.6912
2024-03-19 12:03:46,642 - INFO - Epoch 8/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:03:57,455 - INFO - Epoch 9/40, Train Loss: 0.0073
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (healthy): 0.8742
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (srf): 0.9779
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (irf): 0.9771
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (drusen): 0.9379
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (ped): 0.9788
2024-03-19 12:04:05,213 - INFO - Epoch 9/40, Train Accuracy (hdots): 0.8905
2024-03-19 12:04:05,214 - INFO - Epoch 9/40, Train Accuracy (hfoci): 0.9755
2024-03-19 12:04:06,086 - INFO - Epoch 9/40, Val Loss: 0.1415
2024-03-19 12:04:06,958 - INFO - Epoch 9/40, Validation Accuracy (foveal_scan): 0.9632
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (healthy): 0.8015
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (srf): 0.9632
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (irf): 0.9485
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (drusen): 0.8897
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (ped): 0.8750
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (hdots): 0.6838
2024-03-19 12:04:06,959 - INFO - Epoch 9/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:04:17,853 - INFO - Epoch 10/40, Train Loss: 0.0092
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (foveal_scan): 0.9984
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (healthy): 0.8979
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (srf): 0.9967
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (irf): 0.9951
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (drusen): 0.9861
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (ped): 0.9926
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (hdots): 0.9730
2024-03-19 12:04:25,551 - INFO - Epoch 10/40, Train Accuracy (hfoci): 0.9975
2024-03-19 12:04:26,420 - INFO - Epoch 10/40, Val Loss: 0.0903
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (foveal_scan): 0.9706
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (healthy): 0.8088
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (srf): 0.9706
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (irf): 0.9485
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (drusen): 0.8382
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (ped): 0.9265
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (hdots): 0.8162
2024-03-19 12:04:27,291 - INFO - Epoch 10/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:04:38,073 - INFO - Epoch 11/40, Train Loss: 0.0075
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (foveal_scan): 0.9984
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (healthy): 0.9624
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (srf): 0.9943
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (irf): 0.9967
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (drusen): 0.9436
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (ped): 0.9967
2024-03-19 12:04:45,905 - INFO - Epoch 11/40, Train Accuracy (hdots): 0.8791
2024-03-19 12:04:45,906 - INFO - Epoch 11/40, Train Accuracy (hfoci): 0.9918
2024-03-19 12:04:46,771 - INFO - Epoch 11/40, Val Loss: 0.0946
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (foveal_scan): 0.9926
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (healthy): 0.8824
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (srf): 0.9853
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (irf): 0.9485
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (drusen): 0.8015
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (ped): 0.9559
2024-03-19 12:04:47,653 - INFO - Epoch 11/40, Validation Accuracy (hdots): 0.7279
2024-03-19 12:04:47,654 - INFO - Epoch 11/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:04:59,442 - INFO - Epoch 12/40, Train Loss: 0.0066
2024-03-19 12:05:07,231 - INFO - Epoch 12/40, Train Accuracy (foveal_scan): 1.0000
2024-03-19 12:05:07,231 - INFO - Epoch 12/40, Train Accuracy (healthy): 0.9951
2024-03-19 12:05:07,231 - INFO - Epoch 12/40, Train Accuracy (srf): 0.9926
2024-03-19 12:05:07,231 - INFO - Epoch 12/40, Train Accuracy (irf): 1.0000
2024-03-19 12:05:07,231 - INFO - Epoch 12/40, Train Accuracy (drusen): 0.9943
2024-03-19 12:05:07,231 - INFO - Epoch 12/40, Train Accuracy (ped): 0.9975
2024-03-19 12:05:07,232 - INFO - Epoch 12/40, Train Accuracy (hdots): 0.9967
2024-03-19 12:05:07,232 - INFO - Epoch 12/40, Train Accuracy (hfoci): 0.9935
2024-03-19 12:05:08,106 - INFO - Epoch 12/40, Val Loss: 0.0660
2024-03-19 12:05:08,990 - INFO - Epoch 12/40, Validation Accuracy (foveal_scan): 0.9853
2024-03-19 12:05:08,990 - INFO - Epoch 12/40, Validation Accuracy (healthy): 0.9559
2024-03-19 12:05:08,990 - INFO - Epoch 12/40, Validation Accuracy (srf): 0.9706
2024-03-19 12:05:08,991 - INFO - Epoch 12/40, Validation Accuracy (irf): 0.9559
2024-03-19 12:05:08,991 - INFO - Epoch 12/40, Validation Accuracy (drusen): 0.8456
2024-03-19 12:05:08,991 - INFO - Epoch 12/40, Validation Accuracy (ped): 0.9118
2024-03-19 12:05:08,991 - INFO - Epoch 12/40, Validation Accuracy (hdots): 0.8235
2024-03-19 12:05:08,991 - INFO - Epoch 12/40, Validation Accuracy (hfoci): 0.9706
2024-03-19 12:05:19,788 - INFO - Epoch 13/40, Train Loss: 0.0064
2024-03-19 12:05:27,630 - INFO - Epoch 13/40, Train Accuracy (foveal_scan): 0.9984
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (healthy): 0.8742
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (srf): 0.9975
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (irf): 0.9886
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (drusen): 0.9796
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (ped): 0.9812
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (hdots): 0.8791
2024-03-19 12:05:27,631 - INFO - Epoch 13/40, Train Accuracy (hfoci): 0.9918
2024-03-19 12:05:28,485 - INFO - Epoch 13/40, Val Loss: 0.1102
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (foveal_scan): 0.9632
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (healthy): 0.7868
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (srf): 0.9632
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (drusen): 0.8529
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (ped): 0.9412
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (hdots): 0.7500
2024-03-19 12:05:29,342 - INFO - Epoch 13/40, Validation Accuracy (hfoci): 0.9853
2024-03-19 12:05:40,143 - INFO - Epoch 14/40, Train Loss: 0.0080
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (foveal_scan): 0.9975
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (healthy): 0.9788
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (srf): 0.9861
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (irf): 0.9951
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (drusen): 0.9853
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (ped): 0.9101
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (hdots): 0.8946
2024-03-19 12:05:48,010 - INFO - Epoch 14/40, Train Accuracy (hfoci): 0.9894
2024-03-19 12:05:48,869 - INFO - Epoch 14/40, Val Loss: 0.1487
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (foveal_scan): 0.9779
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (healthy): 0.8971
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (srf): 0.9632
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (irf): 0.9412
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (drusen): 0.8529
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (ped): 0.8382
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (hdots): 0.6471
2024-03-19 12:05:49,756 - INFO - Epoch 14/40, Validation Accuracy (hfoci): 0.9926
2024-03-19 12:06:00,577 - INFO - Epoch 15/40, Train Loss: 0.0055
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (foveal_scan): 0.9935
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (healthy): 0.9943
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (srf): 0.9698
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (irf): 0.9984
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (drusen): 0.9788
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (ped): 0.9796
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (hdots): 0.9804
2024-03-19 12:06:08,407 - INFO - Epoch 15/40, Train Accuracy (hfoci): 0.9886
