2024-03-19 09:56:55,588 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound_448 
2024-03-19 09:57:04,100 - INFO - Initial Test Accuracy (foveal_scan): 0.0808
2024-03-19 09:57:04,100 - INFO - Initial Test Accuracy (healthy): 0.5961
2024-03-19 09:57:04,100 - INFO - Initial Test Accuracy (srf): 0.0044
2024-03-19 09:57:04,100 - INFO - Initial Test Accuracy (irf): 0.0131
2024-03-19 09:57:04,101 - INFO - Initial Test Accuracy (drusen): 0.7751
2024-03-19 09:57:04,101 - INFO - Initial Test Accuracy (ped): 0.0590
2024-03-19 09:57:04,101 - INFO - Initial Test Accuracy (hdots): 0.6201
2024-03-19 09:57:04,101 - INFO - Initial Test Accuracy (hfoci): 0.9127
2024-03-19 09:57:33,080 - INFO - Epoch 1/40, Train Loss: 0.1754
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (foveal_scan): 0.7353
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (healthy): 0.7443
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (srf): 0.1544
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (irf): 0.5000
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (drusen): 0.6160
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (ped): 0.8513
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (hdots): 0.7026
2024-03-19 09:57:46,591 - INFO - Epoch 1/40, Train Accuracy (hfoci): 0.8995
2024-03-19 09:57:48,086 - INFO - Epoch 1/40, Val Loss: 0.1930
2024-03-19 09:57:49,613 - INFO - Epoch 1/40, Validation Accuracy (foveal_scan): 0.7206
2024-03-19 09:57:49,613 - INFO - Epoch 1/40, Validation Accuracy (healthy): 0.7426
2024-03-19 09:57:49,614 - INFO - Epoch 1/40, Validation Accuracy (srf): 0.1324
2024-03-19 09:57:49,614 - INFO - Epoch 1/40, Validation Accuracy (irf): 0.4926
2024-03-19 09:57:49,614 - INFO - Epoch 1/40, Validation Accuracy (drusen): 0.6250
2024-03-19 09:57:49,614 - INFO - Epoch 1/40, Validation Accuracy (ped): 0.8750
2024-03-19 09:57:49,614 - INFO - Epoch 1/40, Validation Accuracy (hdots): 0.6397
2024-03-19 09:57:49,614 - INFO - Epoch 1/40, Validation Accuracy (hfoci): 0.9412
2024-03-19 09:58:00,718 - INFO - Best Validation Loss: 0.1930
2024-03-19 09:58:40,617 - INFO - Epoch 2/40, Train Loss: 0.1674
2024-03-19 09:58:54,133 - INFO - Epoch 2/40, Train Accuracy (foveal_scan): 0.7304
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (healthy): 0.6789
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (srf): 0.2296
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (irf): 0.7737
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (drusen): 0.6953
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (ped): 0.7900
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (hdots): 0.7386
2024-03-19 09:58:54,134 - INFO - Epoch 2/40, Train Accuracy (hfoci): 0.8554
2024-03-19 09:58:55,619 - INFO - Epoch 2/40, Val Loss: 0.1811
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (foveal_scan): 0.7279
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (healthy): 0.6838
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (srf): 0.2206
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (irf): 0.7721
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (drusen): 0.6691
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (ped): 0.8456
2024-03-19 09:58:57,116 - INFO - Epoch 2/40, Validation Accuracy (hdots): 0.6838
