2024-03-19 01:59:56,634 - INFO - Saving models in /home/tejadhith/Project/OCT/multiclass_models_retfound_448 
2024-03-19 02:00:18,086 - INFO - Initial Test Accuracy (foveal_scan): 0.9192
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (healthy): 0.5961
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (srf): 0.9956
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (irf): 0.0131
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (drusen): 0.2620
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (ped): 0.5611
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (hdots): 0.6201
2024-03-19 02:00:18,087 - INFO - Initial Test Accuracy (hfoci): 0.9105
2024-03-19 02:02:39,071 - INFO - Epoch 1/20, Train Loss: 0.7941
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (foveal_scan): 0.9044
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (healthy): 0.7206
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (srf): 0.9346
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (irf): 0.9510
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (drusen): 0.8292
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (ped): 0.8382
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (hdots): 0.6340
2024-03-19 02:03:30,146 - INFO - Epoch 1/20, Train Accuracy (hfoci): 0.9681
2024-03-19 02:03:35,807 - INFO - Epoch 1/20, Val Loss: 0.8028
2024-03-19 02:03:41,506 - INFO - Epoch 1/20, Validation Accuracy (foveal_scan): 0.8676
2024-03-19 02:03:41,507 - INFO - Epoch 1/20, Validation Accuracy (healthy): 0.6618
2024-03-19 02:03:41,507 - INFO - Epoch 1/20, Validation Accuracy (srf): 0.9338
2024-03-19 02:03:41,507 - INFO - Epoch 1/20, Validation Accuracy (irf): 0.9338
